id,company_name,location,sector,near_term_status,near_term_target_year
974,Fakir Fashion Ltd.,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
975,Fiber@Home Limited,Bangladesh,Serviços de Telecomunicação,Comprometido,Não Informado
976,Future RF Technology Limited,Bangladesh,Serviços de Telecomunicação,Metas definidas,2030
977,GENESIS FASHIONS LIMITED,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Compromisso removido,Não Informado
978,Genex Infosys Limited,Bangladesh,Serviços Profissionais,Comprometido,Não Informado
979,Genex Infrastructure Limited,Bangladesh,Serviços de Telecomunicação,Comprometido,Não Informado
980,GPI AsiaTel,Bangladesh,Serviços de Telecomunicação,Comprometido,Não Informado
981,GUARDIAN LIFE INSURANCE LIMITED,Bangladesh,"Bancos, Finanças Diversas e Seguros",Comprometido,Não Informado
982,Habitus Fashion Limited,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
983,Hamida Traders Limited,Bangladesh,Serviços de Telecomunicação,Metas definidas,2030
984,HS Engineering,Bangladesh,Serviços de Telecomunicação,Comprometido,Não Informado
985,Implode Impression,Bangladesh,Aeroespacial e Defesa,Metas definidas,2030
986,Impress-Newtex Composite Textiles Ltd.,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
987,Integrated Marketing Service Limited,Bangladesh,Serviços Especializados ao Consumidor,Metas definidas,2030
988,Intelligent Card Limited (ICL),Bangladesh,Serviços de Telecomunicação,Metas definidas,2030
989,KDS GARMENTS INDUSTRIES LTD.,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Compromisso removido,Não Informado
990,Level3 Carrier Limited,Bangladesh,Serviços de Telecomunicação,Metas definidas,2030
991,Liz Fashion Industry Limited,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
992,M/S. Sany Enterprise,Bangladesh,Construção e Engenharia,Metas definidas,2030
993,Masco Industries Ltd. (Composite Knit Garments),Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
994,Metal Plus Limited,Bangladesh,Serviços de Telecomunicação,Comprometido,Não Informado
995,Modele De Capital Ind. Ltd.,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
996,Optimal Track,Bangladesh,Serviços de Telecomunicação,Metas definidas,2030
997,Pioneer Denim Limited,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
998,Pragati Life Insurance Limited,Bangladesh,"Bancos, Finanças Diversas e Seguros",Comprometido,Não Informado
999,Roar Fashion Limited,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
1000,Romo Fashion Today Ltd.,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
1001,Salextra Limited,Bangladesh,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Comprometido,Não Informado
1002,SARBS Communications Ltd.,Bangladesh,Serviços de Telecomunicação,Comprometido,Não Informado
1003,SEMAPHORE TELECOMMUNICATION LIMITED,Bangladesh,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2030
1004,Shorborno Holdings Ltd,Bangladesh,Software e Serviços,Metas definidas,2030
1005,Smart Technologies BD Ltd,Bangladesh,Hardware e Equipamento de Tecnologia,Comprometido,Não Informado
1006,SQUARE FASHIONS LTD.,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
1007,STAR LINK,Bangladesh,Serviços de Telecomunicação,Metas definidas,2030
1008,Step Media Ltd,Bangladesh,Mídia,Comprometido,Não Informado
1009,Summit Communications Limited,Bangladesh,Serviços de Telecomunicação,Comprometido,Não Informado
1010,Summit Towers Limited,Bangladesh,Serviços de Telecomunicação,Comprometido,Não Informado
1011,The Rose Dresses Limited,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
1012,UNITEDTEL,Bangladesh,Serviços de Telecomunicação,Metas definidas,2030
1013,UP Smart Cards Ltd,Bangladesh,Equipamento e Maquinário Elétrico,Metas definidas,2030
1014,URMI GROUP,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
1015,Utah Knitting & Dyeing Ltd.,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
1016,VX Services Limited,Bangladesh,Serviços Profissionais,Metas definidas,2030
1017,Walton Digi-Tech Industries Ltd.,Bangladesh,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
1018,Windy Apparels Ltd.,Bangladesh,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
1019,3B-Fibreglass,Bélgica,"Bens de Consumo Duráveis, Produtos Domésticos e Pessoais",Compromisso removido,Não Informado
1020,AB InBev,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2025
1021,Agfa-Gevaert,Bélgica,Produtos Químicos,Comprometido,Não Informado
1022,Aliaxis Holdings SA,Bélgica,Insumos de Construção,Comprometido,Não Informado
1023,Alsico Group,Bélgica,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
1024,Ardo Foods NV,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1025,Arthur D. Little,Bélgica,Serviços Profissionais,Metas definidas,2033
1026,Astra Sweets,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1027,Atenor SA,Bélgica,Imóveis,Metas definidas,2030
1028,Azelis Group NV,Bélgica,Produtos Químicos,Comprometido,Não Informado
1029,Barco NV,Bélgica,Hardware e Equipamento de Tecnologia,Metas definidas,2025
1030,Baronie NV,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1031,BDO Bélgica,Bélgica,Serviços Profissionais,Comprometido,Não Informado
1032,Beaulieu International Group,Bélgica,Produtos Químicos,Metas definidas,2030
1033,BEFIMMO SA,Bélgica,Imóveis,Metas definidas,2030
1034,BekaertDeslee NV,Bélgica,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
1035,Belfius Bank SA,Bélgica,"Bancos, Finanças Diversas e Seguros",Compromisso removido,Não Informado
1036,BELGIAN PORK GROUP NV,Bélgica,Produção de Alimentos de Origem Animal,Comprometido,Não Informado
1037,BelOrta,Bélgica,Varejo de Alimentos e Bens Essenciais,Metas definidas,2030
1038,Belysse Group NV,Bélgica,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
1039,"Belysse NV, Bentley Mills - ITC - modulyss",Bélgica,Insumos de Construção,Comprometido,Não Informado
1040,BergHOFF Bélgica,Bélgica,Varejo,Metas definidas,2030
1041,Biscuiterie Thijs,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1042,Bluecrux,Bélgica,Serviços Profissionais,Metas definidas,2030
1043,Boortmalt NV,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1044,bpostgroup,Bélgica,Transporte Aéreo de Carga e Logística,Metas definidas,2030
1045,Brandbloxx,Bélgica,Serviços Profissionais,Metas definidas,2030
1046,BrightWolves,Bélgica,Serviços Profissionais,Metas definidas,2030
1047,Brussels Worldwide Services BV (BDO Global Office),Bélgica,Serviços Profissionais,Metas definidas,2030
1048,BSI nv,Bélgica,Imóveis,Metas definidas,2030
1049,Buro Partner srl,Bélgica,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2030
1050,C.V.O. International,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1051,C&A,Bélgica,Varejo,Metas definidas,2030
1052,Carbon+Alt+Delete,Bélgica,Software e Serviços,Metas definidas,2030
1053,Care Property Invest,Bélgica,Imóveis,Metas definidas,2030
1054,Cemminerals,Bélgica,Materiais de Construção,Metas definidas,2030
1055,Charlier Brabo Group,Bélgica,Varejo de Alimentos e Bens Essenciais,Comprometido,Não Informado
1056,ChocDecor,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1057,CLIMACT,Bélgica,Serviços Profissionais,Metas definidas,2030
1058,CluePoints,Bélgica,Software e Serviços,Metas definidas,2030
1059,Cofinimmo,Bélgica,Imóveis,Metas definidas,2030
1060,Collibra (Group),Bélgica,Software e Serviços,Comprometido,Não Informado
1061,Colruyt Group,Bélgica,Varejo,Metas definidas,2030
1062,Corialis,Bélgica,Insumos de Construção,Metas definidas,2030
1063,Crelem Bakeries NV,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1064,CV De Bandt Advocaten – Avocats Attorneys Rechtsanwalte,Bélgica,Serviços Profissionais,Metas definidas,2030
1065,D'Ieteren Automotive,Bélgica,Automóveis e Componentes,Metas definidas,2030
1066,D'Ieteren Group,Bélgica,"Bancos, Finanças Diversas e Seguros",Metas definidas,2027
1067,DASSY Europe BV,Bélgica,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
1068,De Cronos Groep,Bélgica,Software e Serviços,Comprometido,Não Informado
1069,Deceuninck,Bélgica,Insumos de Construção,Metas definidas,2030
1070,Degroof Petercam,Bélgica,"Bancos, Finanças Diversas e Seguros",Comprometido,Não Informado
1071,Desmedt Labels,Bélgica,Produtos Florestais,Metas definidas,2030
1072,deSter,Bélgica,Produtos Químicos,Metas definidas,2030
1073,Detry sa,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1074,Die Keure Printing & Publishing,Bélgica,Serviços Educacionais,Metas definidas,2030
1075,Dry-Top,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1076,Drylock Technologies NV,Bélgica,"Bens de Consumo Duráveis, Produtos Domésticos e Pessoais",Metas definidas,2030
1077,Duvel Moortgat,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1078,DW Reusables,Bélgica,Recipientes e Embalagens,Comprometido,Não Informado
1079,Easyfairs International SA,Bélgica,Serviços Especializados ao Consumidor,Comprometido,Não Informado
1080,ECONOCOM GROUP SE,Bélgica,Software e Serviços,Metas definidas,2028
1081,ECS Corporate NV,Bélgica,Transporte Terrestre - Caminhões,Metas definidas,2030
1082,Edgard & Cooper,Bélgica,"Bens de Consumo Duráveis, Produtos Domésticos e Pessoais",Metas definidas,2030
1083,EL-RAN,Bélgica,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
1084,Elements,Bélgica,Varejo,Metas definidas,2030
1085,Elia Group,Bélgica,"Companhias de Energia Elétrica, Produtores Independentes e Comerciantes de Energia (incluindo Fóssil, Alternativa e Nuclear)",Metas definidas,2030
1086,Encon NV,Bélgica,Serviços Profissionais,Metas definidas,2030
1087,Enhesa NV,Bélgica,Software e Serviços,Metas definidas,2030
1088,Enprove bv,Bélgica,Serviços Especializados ao Consumidor,Metas definidas,2030
1089,Etabl. J. Soubry N.V.,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1090,ETAP Lighting International,Bélgica,Equipamento e Maquinário Elétrico,Metas definidas,2030
1091,Etex,Bélgica,Insumos de Construção,Comprometido,Não Informado
1092,Ethias,Bélgica,"Bancos, Finanças Diversas e Seguros",Comprometido,Não Informado
1093,Etivoet,Bélgica,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2030
1094,Euro Fresh Foods,Bélgica,Varejo de Alimentos e Bens Essenciais,Metas definidas,2030
1095,Euroclear SA/NV,Bélgica,"Bancos, Finanças Diversas e Seguros",Metas definidas,2030
1096,European Filter Corporation,Bélgica,Construção e Engenharia,Metas definidas,2030
1097,Eurostar,Bélgica,Transporte Terrestre - Estradas de Ferro,Comprometido,Não Informado
1098,EVS Broadcast Equipment,Bélgica,Hardware e Equipamento de Tecnologia,Comprometido,Não Informado
1099,FACIL Corporate BV,Bélgica,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2030
1100,Fagron NV,Bélgica,Equipamentos e Suprimentos de Saúde,Metas definidas,2030
1101,Fiberklaar BV,Bélgica,Serviços de Telecomunicação,Metas definidas,2030
1102,Foresco Group BV,Bélgica,Produtos Florestais,Comprometido,Não Informado
1103,Forvis Mazars,Bélgica,Serviços Profissionais,Metas definidas,2030
1104,Frigilunch nv,Bélgica,Varejo de Alimentos e Bens Essenciais,Metas definidas,2030
1105,Gadot Bélgica B.V.,Bélgica,Produtos Químicos,Metas definidas,2030
1106,GAMING1,Bélgica,"Hotéis, Restaurantes, Lazer e Serviços de Turismo",Comprometido,Não Informado
1107,Garden Trade International,Bélgica,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2030
1108,Ghelamco Group CVA,Bélgica,Imóveis,Metas definidas,2030
1109,Goodman CE,Bélgica,Imóveis,Metas definidas,2030
1110,Greenfish SA,Bélgica,Serviços Profissionais,Metas definidas,2030
1111,Greenyard NV,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2031
1112,Groupe Bruxelles Lambert,Bélgica,"Bancos, Finanças Diversas e Seguros",Metas definidas,2025
1113,Groupe P&V / P&V Groep,Bélgica,"Bancos, Finanças Diversas e Seguros",Comprometido,Não Informado
1114,H.Essers BV,Bélgica,Transporte Terrestre - Caminhões,Comprometido,Não Informado
1115,Hamlet NV,Bélgica,Varejo de Alimentos e Bens Essenciais,Comprometido,Não Informado
1116,Herta Bélgica,Bélgica,Produção de Alimentos de Origem Animal,Comprometido,Não Informado
1117,HF Holding,Bélgica,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2030
1118,House of HR Holding B.V.,Bélgica,Serviços Profissionais,Comprometido,Não Informado
1119,HR One Group,Bélgica,Serviços Profissionais,Metas definidas,2030
1120,INDAVER NV (GROUP),Bélgica,Companhias de Gestão de Resíduos Sólidos,Comprometido,Não Informado
1121,Inex NV,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1122,INFRA Group,Bélgica,Construção e Engenharia,Metas definidas,2031
1123,Infrabel n.v.,Bélgica,Transporte Terrestre - Estradas e Trilhos,Compromisso removido,Não Informado
1124,International Post Corporation (IPC),Bélgica,Transporte Aéreo de Carga e Logística,Metas definidas,2025
1125,IPCOM,Bélgica,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Comprometido,Não Informado
1126,JENSEN-GROUP N.V.,Bélgica,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
1127,Joriba Bakery,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1128,Juno Bidco BV,Bélgica,Software e Serviços,Metas definidas,2030
1129,KBC Bank NV incl. consolidated entities,Bélgica,"Bancos, Finanças Diversas e Seguros",Compromisso removido,Não Informado
1130,Kim's Chocolates,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1131,Kinepolis Group NV,Bélgica,Mídia,Comprometido,Não Informado
1132,Kollergang nv,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1133,Konings,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1134,La Lorraine Bakery Group NV,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1135,LCL NV,Bélgica,Software e Serviços,Metas definidas,2030
1136,Libeert Belgian Chocolate Creators,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1137,Lineas NV,Bélgica,Transporte Terrestre - Estradas de Ferro,Metas definidas,2030
1138,Living Tomorrow NV,Bélgica,Serviços Educacionais,Metas definidas,2030
1139,Loterie Nationale / Nationale Loterij,Bélgica,"Hotéis, Restaurantes, Lazer e Serviços de Turismo",Metas definidas,2030
1140,Lotus Bakeries NV,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1141,MAGOTTEAUX INTERNATIONAL S.A.,Bélgica,"Mineração - Ferro, Alumínio e Outros Metais",Comprometido,Não Informado
1142,Manuchar ITS NV,Bélgica,Transporte Aéreo de Carga e Logística,Comprometido,Não Informado
1143,Materialise NV,Bélgica,Software e Serviços,Metas definidas,2029
1144,Meat For You S.A.,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1145,Mediahuis,Bélgica,Mídia,Metas definidas,2030
1146,Metamorphosis SRL,Bélgica,Serviços Profissionais,Metas definidas,2030
1147,Milcobel cv,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1148,Mistral Home,Bélgica,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
1149,Montea NV,Bélgica,Imóveis,Metas definidas,2030
1150,N-SIDE,Bélgica,Software e Serviços,Metas definidas,2030
1151,Nelissen Steenfabrieken NV,Bélgica,Materiais de Construção,Metas definidas,2030
1152,Nippon Shokubai Europe NV,Bélgica,Produtos Químicos,Metas definidas,2030
1153,Nissha Metallizing Solutions,Bélgica,Produtos Florestais,Comprometido,Não Informado
1154,Novellas Healthcare,Bélgica,"Tecnologia, Provedores e Serviços de Saúde",Metas definidas,2030
1155,NV Bekaert SA,Bélgica,"Mineração - Ferro, Alumínio e Outros Metais",Metas definidas,2035
1156,OM Partners NV,Bélgica,Software e Serviços,Comprometido,Não Informado
1157,Ontex,Bélgica,"Bens de Consumo Duráveis, Produtos Domésticos e Pessoais",Metas definidas,2030
1158,ONTOFORCE NV,Bélgica,Software e Serviços,Metas definidas,2030
1159,ORDAL BV,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1160,Overseas Distribution Company NV,Bélgica,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2030
1161,P95 BV,Bélgica,"Produtos Farmacêuticos, Biotecnologia e Ciências Biológicas",Metas definidas,2030
1162,Packyard Group,Bélgica,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Comprometido,Não Informado
1163,Peruweld SA,Bélgica,Equipamento e Maquinário Elétrico,Metas definidas,2030
1164,Pietercil Group,Bélgica,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Comprometido,Não Informado
1165,Poppies Bakeries NV,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1166,Projective Group,Bélgica,Serviços Profissionais,Metas definidas,2030
1167,Promedia Group,Bélgica,Serviços Profissionais,Metas definidas,2030
1168,Proximus,Bélgica,Serviços de Telecomunicação,Metas definidas,2030
1169,Pur Natur,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1170,Puratos,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1171,Q-lite,Bélgica,Equipamento e Maquinário Elétrico,Metas definidas,2030
1172,Radisson Hotel Group,Bélgica,"Hotéis, Restaurantes, Lazer e Serviços de Turismo",Metas definidas,2030
1173,Ranson Group BV,Bélgica,Varejo de Alimentos e Bens Essenciais,Metas definidas,2030
1174,REALCO,Bélgica,Produtos Químicos,Metas definidas,2030
1175,RECTICEL,Bélgica,Insumos de Construção,Metas definidas,2030
1176,Reynaers Group,Bélgica,Insumos de Construção,Metas definidas,2030
1177,Reynders Etiketten N.V.,Bélgica,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2030
1178,Rosy Blue NV,Bélgica,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2033
1179,Rydoo NV,Bélgica,Software e Serviços,Metas definidas,2030
1180,SCHRÉDER SA,Bélgica,Equipamento e Maquinário Elétrico,Metas definidas,2030
1181,SCR-Sibelco NV,Bélgica,Materiais de Construção,Metas definidas,2030
1182,Segers & Balcaen,Bélgica,Recipientes e Embalagens,Metas definidas,2030
1183,Sodexo Pass Bélgica,Bélgica,Serviços Profissionais,Metas definidas,2030
1184,Sofina SA,Bélgica,"Bancos, Finanças Diversas e Seguros",Metas definidas,2029
1185,Solvay,Bélgica,Produtos Químicos,Metas definidas,2030
1186,Souvereyns NV,Bélgica,Produtos Florestais,Metas definidas,2030
1187,SPADEL SA,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1188,Statik,Bélgica,Mídia,Metas definidas,2030
1189,Steengoed Projecten CV,Bélgica,Materiais de Construção,Metas definidas,2030
1190,Sto NV,Bélgica,Materiais de Construção,Metas definidas,2030
1191,SWIFT,Bélgica,Serviços de Telecomunicação,Metas definidas,2030
1192,Syensqo SA,Bélgica,Produtos Químicos,Metas definidas,2030
1193,Taché Company NV,Bélgica,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
1194,TAUW België NV,Bélgica,Construção e Engenharia,Comprometido,Não Informado
1195,team.blue,Bélgica,Software e Serviços,Metas definidas,2030
1196,Telenet Group NV,Bélgica,Mídia,Metas definidas,2030
1197,Thalys,Bélgica,Transporte Terrestre - Estradas de Ferro,Metas definidas,2020
1198,Theo Bauwens NV,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1199,Thermo-Clean,Bélgica,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2030
1200,Thor Park Nv,Bélgica,Imóveis,Metas definidas,2030
1201,TITAN Cement Group,Bélgica,Materiais de Construção,Metas definidas,2030
1202,TopWin srl,Bélgica,Serviços Profissionais,Metas definidas,2030
1203,TRACTEBEL,Bélgica,Construção e Engenharia,Comprometido,Não Informado
1204,TransWest NV,Bélgica,Transporte Terrestre - Caminhões,Metas definidas,2030
1205,UCB,Bélgica,"Produtos Farmacêuticos, Biotecnologia e Ciências Biológicas",Metas definidas,2030
1206,Umicore,Bélgica,Produtos Químicos,Metas definidas,2030
1207,Unilin Group,Bélgica,Insumos de Construção,Metas definidas,2030
1208,Van Genechten Packaging NV,Bélgica,Produtos Florestais,Comprometido,Não Informado
1209,Van Heurck,Bélgica,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
1210,Vanbreda Risk & Benefits,Bélgica,"Serviços Financeiros Especializados, Financiamento ao Consumidor e Corretoras de Seguros",Comprometido,Não Informado
1211,Vandemoortele NV,Bélgica,Processamento de Alimentos e Bebidas,Compromisso removido,Não Informado
1212,vdk bank,Bélgica,"Bancos, Finanças Diversas e Seguros",Compromisso removido,Não Informado
1213,VGP NV,Bélgica,Imóveis,Metas definidas,2030
1214,Volys,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1215,VP Capital,Bélgica,"Bancos, Finanças Diversas e Seguros",Metas definidas,2030
1216,VPK Group,Bélgica,Produtos Florestais,Metas definidas,2030
1217,VVM De Lijn,Bélgica,Transporte Terrestre - Caminhões,Metas definidas,2030
1218,Walk the extra Mile BV,Bélgica,"Companhias de Energia Elétrica, Produtores Independentes e Comerciantes de Energia (incluindo Fóssil, Alternativa e Nuclear)",Metas definidas,2030
1219,Warehouses De Pauw,Bélgica,Imóveis,Metas definidas,2030
1220,Warehouses Estates Bélgica,Bélgica,Imóveis,Metas definidas,2030
1221,Wengage,Bélgica,Serviços Profissionais,Comprometido,Não Informado
1222,What's Cooking?,Bélgica,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
1223,World Cones NV,Bélgica,Processamento de Alimentos e Bebidas,Metas definidas,2030
1224,Wouters & Hendrix,Bélgica,Varejo,Metas definidas,2030
1225,Wybo Transport NV,Bélgica,Transporte Terrestre - Caminhões,Metas definidas,2030
1226,Xior Student Housing NV,Bélgica,Imóveis,Metas definidas,2030
1227,Yonderland,Bélgica,Varejo,Metas definidas,2027
1228,Bacardi Limited,Bermuda,Processamento de Alimentos e Bebidas,Metas definidas,2030
1229,Genpact,Bermuda,Serviços Profissionais,Metas definidas,2032
1230,Helen of Troy Limited,Bermuda,"Bens de Consumo Duráveis, Produtos Domésticos e Pessoais",Metas definidas,2030
1231,Embotelladoras Bolivianas Unidas S.A.,Bolivia,Processamento de Alimentos e Bebidas,Compromisso removido,Não Informado
1232,EMINLAGA S.R.L. - Mamut,Bolivia,Insumos de Construção,Metas definidas,2030
1233,TT Kabeli doo,Bosnia-Herzegovina,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
1234,AÇO VERDE DO BRASIL.S.A,Brasil,"Mineração - Ferro, Alumínio e Outros Metais",Compromisso removido,Não Informado
1235,Algar Telecom,Brasil,Serviços de Telecomunicação,Comprometido,Não Informado
1236,AMAGGI,Brasil,Produção de Alimentos Agrícolas,Metas definidas,2032
1237,Ambev S.A.,Brasil,Processamento de Alimentos e Bebidas,Metas definidas,2030
1238,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,Brasil,Serviços Profissionais,Metas definidas,2030
1239,Americanas S.A.,Brasil,Varejo,Compromisso removido,Não Informado
1240,Arezzo & Co,Brasil,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
1241,Azul Linhas Aéreas SA,Brasil,Transporte Aéreo - Companhias Aéreas,Metas definidas,2030
1242,Baluarte Cultura,Brasil,Serviços Profissionais,Metas definidas,2030
1243,Banco do Brasil S.A.,Brasil,"Bancos, Finanças Diversas e Seguros",Comprometido,Não Informado
1244,BDO RCS Auditores Independentes,Brasil,Serviços Profissionais,Comprometido,Não Informado
1245,Better Drinks,Brasil,Processamento de Alimentos e Bebidas,Metas definidas,2030
1246,BRF S.A.,Brasil,Processamento de Alimentos e Bebidas,Metas definidas,2032
1247,C&A Modas S.A.,Brasil,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
1248,Capricórnio Têxtil,Brasil,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Comprometido,Não Informado
1249,Centrais Elétricas Brasileiras S.A. - Eletrobras,Brasil,"Companhias de Energia Elétrica, Produtores Independentes e Comerciantes de Energia (incluindo Fóssil, Alternativa e Nuclear)",Metas definidas,2029
1250,CI&T Software,Brasil,Software e Serviços,Comprometido,Não Informado
1251,Citrosuco Agroindustria S.A.,Brasil,Processamento de Alimentos e Bebidas,Metas definidas,2030
1252,CJ SELECTA S.A.,Brasil,Produção de Alimentos Agrícolas,Comprometido,Não Informado
1253,CLI - Corredor Logística e Infraestrutura,Brasil,Transporte Aquático - Portos e Serviços,Comprometido,Não Informado
1254,ComBio Energia S.A.,Brasil,"Companhias de Energia Elétrica, Produtores Independentes e Comerciantes de Energia (incluindo Fóssil, Alternativa e Nuclear)",Compromisso removido,Não Informado
1255,Companhia Brasileira de Aluminio,Brasil,"Mineração - Ferro, Alumínio e Outros Metais",Metas definidas,2030
1256,Companhia Energética de Minas Gerais - Cemig,Brasil,"Companhias de Energia Elétrica, Produtores Independentes e Comerciantes de Energia (incluindo Fóssil, Alternativa e Nuclear)",Metas definidas,2030
1257,Companhia Paranaense de Energia - COPEL,Brasil,"Companhias de Energia Elétrica, Produtores Independentes e Comerciantes de Energia (incluindo Fóssil, Alternativa e Nuclear)",Compromisso removido,Não Informado
1258,COPASTUR VIAGENS E TURISMO,Brasil,"Hotéis, Restaurantes, Lazer e Serviços de Turismo",Comprometido,Não Informado
1259,COREBOX AGENCIA DE COMUNICACAO E DESENVOLVIMENTO TECNICO-CIENTIFICO LTDA,Brasil,Serviços Profissionais,Metas definidas,2030
1260,CPFL Energia,Brasil,"Companhias de Energia Elétrica, Produtores Independentes e Comerciantes de Energia (incluindo Fóssil, Alternativa e Nuclear)",Comprometido,Não Informado
1261,CR Bluecast Industria Mecânica do Brasil LtdA,Brasil,Automóveis e Componentes,Metas definidas,2030
1262,CSN Cimentos Brasil,Brasil,Materiais de Construção,Metas definidas,2030
1263,Digiboard Eletrônica da Amazônia LTDA,Brasil,Hardware e Equipamento de Tecnologia,Metas definidas,2030
1264,ECORE SOLUÇÕES EM TECNOLOGIA DA INFORMAÇÃO LTDA,Brasil,Software e Serviços,Comprometido,Não Informado
1265,EDP Energias do Brasil S.A.,Brasil,"Companhias de Energia Elétrica, Produtores Independentes e Comerciantes de Energia (incluindo Fóssil, Alternativa e Nuclear)",Metas definidas,2032
